﻿﻿﻿Region code,Region name,Father Region name
1156431000,郴州市,湖南省
1156431100,永州市,湖南省
1156431200,怀化市,湖南省
1156431300,娄底市,湖南省
1156433100,湘西土家族苗族自治州,湖南省
1156440000,广东省,中国大陆
1156440100,广州市,广东省
1156440200,韶关市,广东省
1156440300,深圳市,广东省
1156440400,珠海市,广东省
1156440500,汕头市,广东省
1156440600,佛山市,广东省
1156440700,江门市,广东省
1156440800,湛江市,广东省
1156440900,茂名市,广东省
1156441200,肇庆市,广东省
1156441300,惠州市,广东省
1156441400,梅州市,广东省
1156441500,汕尾市,广东省
1156441600,河源市,广东省
1156441700,阳江市,广东省
1156441800,清远市,广东省
1156441900,东莞市,广东省
1156442000,中山市,广东省
1156445100,潮州市,广东省
1156445200,揭阳市,广东省
1156445300,云浮市,广东省
1156450000,广西壮族自治区,中国大陆
1156450100,南宁市,广西壮族自治区
1156450200,柳州市,广西壮族自治区
1156450300,桂林市,广西壮族自治区
1156450400,梧州市,广西壮族自治区
1156450500,北海市,广西壮族自治区
1156450600,防城港市,广西壮族自治区
1156450700,钦州市,广西壮族自治区
1156450800,贵港市,广西壮族自治区
1156450900,玉林市,广西壮族自治区
1156451000,百色市,广西壮族自治区
1156451100,贺州市,广西壮族自治区
1156451200,河池市,广西壮族自治区
1156451300,来宾市,广西壮族自治区
1156451400,崇左市,广西壮族自治区
1156460000,海南省,中国大陆
1156460100,海口市,海南省
1156460200,三亚市,海南省
1156460400,儋州市,海南省
1156500000,重庆市,中国大陆
1156510000,四川省,中国大陆
1156510100,成都市,四川省
1156510300,自贡市,四川省
1156510400,攀枝花市,四川省
1156510500,泸州市,四川省
1156510600,德阳市,四川省
1156510700,绵阳市,四川省
1156510800,广元市,四川省
1156510900,遂宁市,四川省
1156511000,内江市,四川省
1156511100,乐山市,四川省
1156511300,南充市,四川省
1156511400,眉山市,四川省
1156511500,宜宾市,四川省
1156511600,广安市,四川省
1156511700,达州市,四川省
1156511800,雅安市,四川省
1156511900,巴中市,四川省
1156512000,资阳市,四川省
1156513200,阿坝藏族羌族自治州,四川省
1156513300,甘孜藏族自治州,四川省
1156513400,凉山彝族自治州,四川省
1156520000,贵州省,中国大陆
1156520100,贵阳市,贵州省
1156520200,六盘水市,贵州省
1156520300,遵义市,贵州省
1156520400,安顺市,贵州省
1156520500,毕节市,贵州省
1156520600,铜仁市,贵州省
1156522300,黔西南布依族苗族自治州,贵州省
1156522600,黔东南苗族侗族自治州,贵州省
1156522700,黔南布依族苗族自治州,贵州省
1156530000,云南省,中国大陆
1156530100,昆明市,云南省
1156530300,曲靖市,云南省
1156530400,玉溪市,云南省
1156530500,保山市,云南省
1156530600,昭通市,云南省
1156530700,丽江市,云南省
1156530800,普洱市,云南省
1156530900,临沧市,云南省
1156532300,楚雄彝族自治州,云南省
1156532500,红河哈尼族彝族自治州,云南省
1156532600,文山壮族苗族自治州,云南省
1156532800,西双版纳傣族自治州,云南省
1156532900,大理白族自治州,云南省
1156533100,德宏傣族景颇族自治州,云南省
1156533300,怒江傈僳族自治州,云南省
1156533400,迪庆藏族自治州,云南省
1156540000,西藏自治区,中国大陆
1156540100,拉萨市,西藏自治区
1156540200,日喀则市,西藏自治区
1156540300,昌都市,西藏自治区
1156540400,林芝市,西藏自治区
1156540500,山南市,西藏自治区
1156540600,那曲市,西藏自治区
1156542500,阿里地区,西藏自治区
1156610000,陕西省,中国大陆
1156610100,西安市,陕西省
1156610200,铜川市,陕西省
1156610300,宝鸡市,陕西省
1156610400,咸阳市,陕西省
1156610500,渭南市,陕西省
1156610600,延安市,陕西省
1156610700,汉中市,陕西省
1156610800,榆林市,陕西省
1156610900,安康市,陕西省
1156611000,商洛市,陕西省
1156620000,甘肃省,中国大陆
1156620100,兰州市,甘肃省
1156620200,嘉峪关市,甘肃省
1156620300,金昌市,甘肃省
1156620400,白银市,甘肃省
1156620500,天水市,甘肃省
1156620600,武威市,甘肃省
1156620700,张掖市,甘肃省
1156620800,平凉市,甘肃省
1156620900,酒泉市,甘肃省
1156621000,庆阳市,甘肃省
1156621100,定西市,甘肃省
1156621200,陇南市,甘肃省
1156622900,临夏回族自治州,甘肃省
1156623000,甘南藏族自治州,甘肃省
1156630000,青海省,中国大陆
1156630100,西宁市,青海省
1156630200,海东市,青海省
1156632200,海北藏族自治州,青海省
1156632300,黄南藏族自治州,青海省
1156632500,海南藏族自治州,青海省
1156632600,果洛藏族自治州,青海省
1156632700,玉树藏族自治州,青海省
1156632800,海西蒙古族藏族自治州,青海省
1156640000,宁夏回族自治区,中国大陆
1156640100,银川市,宁夏回族自治区
1156640200,石嘴山市,宁夏回族自治区
1156640300,吴忠市,宁夏回族自治区
1156640400,固原市,宁夏回族自治区
1156640500,中卫市,宁夏回族自治区
1156650000,新疆维吾尔自治区,中国大陆
1156650100,乌鲁木齐市,新疆维吾尔自治区
1156650200,克拉玛依市,新疆维吾尔自治区
1156650400,吐鲁番市,新疆维吾尔自治区
1156650500,哈密市,新疆维吾尔自治区
1156652300,昌吉回族自治州,新疆维吾尔自治区
1156652700,博尔塔拉蒙古自治州,新疆维吾尔自治区
1156652800,巴音郭楞蒙古自治州,新疆维吾尔自治区
